slug,name,long
missouri-st,Missouri St.,Missouri State University
mit,MIT,MIT
mitchell,Mitchell,Mitchell College
mo-southern-st,Mo. Southern St.,Missouri Southern St. University
mo-st-louis,Mo.-St. Louis,University of Missouri-St. Louis
mo-western-st,Mo. Western St.,Missouri Western St. University
molloy,Molloy,Molloy University
monmouth,Monmouth,Monmouth University
monmouth-il,Monmouth (IL),Monmouth College
mont-st-billings,Mont. St. Billings,Montana St. University Billings
montana,Montana,University of Montana
montana-st,Montana St.,Montana State University-Bozeman
montclair-st,Montclair St.,Montclair State University
montevallo,Montevallo,University of Montevallo
moravian,Moravian,Moravian College
morehead-st,Morehead St.,Morehead State University
morehouse,Morehouse,Morehouse College
morgan-st,Morgan St.,Morgan State University
morningside,Morningside,Morningside College
morris-brown,Morris Brown,Morris Brown College
mount-holyoke,Mount Holyoke,Mount Holyoke College
mount-ida,Mount Ida,Mount Ida College
mount-olive,Mount Olive,Mount Olive College
mount-union,Mount Union,Mount Union College
msoe,Milwaukee Engr.,Milwaukee School of Engineering
mt-aloysius,Mt. Aloysius,Mount Aloysius College
mt-mary,Mt. Mary,Mount Mary College
mt-st-joseph,Mount St. Joseph,Mount St. Joseph University
mt-st-mary-ny,Mt. St. Mary (NY),Mount Saint Mary College
mt-st-marys,Mt. St. Mary's,Mount St. Mary's University
mt-st-vincent,Mt. St. Vincent,University of Mount Saint Vincent
muhlenberg,Muhlenberg,Muhlenberg College
murray-st,Murray St.,Murray State University
muskingum,Muskingum,Muskingum University
navy,Navy,U.S. Naval Academy
nazareth,Nazareth,Nazareth College
nc-at,North Carolina A&T,North Carolina A&T State University
nc-central,North Carolina Central,North Carolina Central University
nc-wesleyan,North Carolina Wesleyan,North Carolina Wesleyan College
neb-kearney,Neb.-Kearney,University of Nebraska-Kearney
neb-omaha,Omaha,University of Nebraska-Omaha
neb-wesleyan,Neb. Wesleyan,Nebraska Wesleyan University
nebraska,Nebraska,University of Nebraska-Lincoln
neumann,Neumann,Neumann University
nevada,Nevada,University of Nevada
new-england-col,New England Col.,New England College
new-hampshire,New Hampshire,University of New Hampshire
new-haven,New Haven,University of New Haven
new-jersey-city,New Jersey City,New Jersey City University
new-mexico,New Mexico,University of New Mexico
new-mexico-st,New Mexico St.,New Mexico State University
new-orleans,New Orleans,University of New Orleans
new-rochelle,New Rochelle,College of New Rochelle
new-york-u,New York U.,New York University
newberry,Newberry,Newberry College
newbury,Newbury,Newbury College
newman,Newman,Newman University
niagara,Niagara,Niagara University
nicholls-st,Nicholls St.,Nicholls State University
nichols,Nichols,Nichols College
njit,New-Jersey-Tech,New Jersey Institute of Technology
nm-highlands,New-Mexico-Highlands,New Mexico Highlands University
norfolk-st,Norfolk St.,Norfolk State University
north-ala,North Ala.,University of North Alabama
north-carolina,North Carolina,University of North Carolina
north-carolina-st,North Carolina St.,North Carolina State University
north-central-il,North Central (IL),North Central College
north-central-mn,North Central (MN),North Central University
north-dakota,North Dakota,University of North Dakota
north-dakota-st,North Dakota St.,North Dakota State University
north-florida,North Florida,University of North Florida
north-georgia,North Ga.,University of North Georgia
north-greenville,North Greenville,North Greenville University
north-park,North Park,North Park University
north-texas,North Texas,University of North Texas
northeastern,Northeastern,Northeastern University
northeastern-ill,Northeastern Ill.,Northeastern Illinois
northeastern-st,Northeastern St.,Northeastern State University
northern-ariz,Northern Ariz.,Northern Arizona University
northern-colo,Northern Colo.,University of Northern Colorado
northern-ill,Northern Ill.,Northern Illinois University
northern-ky,Northern Ky.,Northern Kentucky University
northern-mich,Northern Mich.,Northern Michigan University
northern-st,Northern St.,Northern State University
northland,Northland,Northland College
northwest-mo-st,Northwest Mo. St.,Northwest Missouri State University
northwest-nazarene,Northwest Nazarene,Northwest Nazarene University
northwestern,Northwestern,Northwestern University
northwestern-okla,Northwestern Oklahoma,Northwestern Oklahoma State Univ.
northwestern-st,Northwestern St.,Northwestern State University
northwestern-st-paul,Northwestern-St. Paul,University of Northwestern-St. Paul
northwood-mi,Northwood (MI),Northwood University (Michigan)
norwich,Norwich,Norwich University
notre-dame,Notre Dame,University of Notre Dame
notre-dame-de-namur,Notre Dame de Namur,Notre Dame de Namur
notre-dame-md,Notre Dame (MD),Notre Dame of Maryland University
notre-dame-oh,Notre Dame (OH),Notre Dame College (Ohio)
nova-southeastern,Nova Southeastern,Nova Southeastern University
nyack,Nyack,Nyack College
nyit,New-York-Inst,New York Institute of Technology
oakland,Oakland,Oakland University
oakland-city,Oakland City,Oakland City University
oberlin,Oberlin,Oberlin College
occidental,Occidental,Occidental College
oglethorpe,Oglethorpe,Oglethorpe University
ohio,Ohio,Ohio University
ohio-dominican,Ohio Dominican,Ohio Dominican University
ohio-northern,Ohio Northern,Ohio Northern University
ohio-st,Ohio St.,The Ohio State University
ohio-valley,Ohio Valley,Ohio Valley University
ohio-wesleyan,Ohio Wesleyan,Ohio Wesleyan University
okla-baptist,Oklahoma Baptist University,
okla-christian,Oklahoma Christian,Oklahoma Christian University
okla-panhandle,Oklahoma Panhandle,Oklahoma Panhandle State Univ.
oklahoma,Oklahoma,University of Oklahoma
oklahoma-st,Oklahoma St.,Oklahoma State University
old-dominion,Old Dominion,Old Dominion University
old-westbury,Suny-Old-Westbury,"SUNY, Old Westbury"
ole-miss,Mississippi,University of Mississippi
olivet,Olivet,Olivet College
oneonta-st,SUNY Oneonta,SUNY Oneonta
oral-roberts,Oral Roberts,Oral Roberts University
oregon,Oregon,University of Oregon
oregon-st,Oregon State,Oregon State University
oswego-st,Suny-Oswego,"SUNY, Oswego"
otterbein,Otterbein,Otterbein University
ouachita-baptist,Ouachita Baptist,Ouachita Baptist University
ozarks-ar,Ozarks (AR),University of the Ozarks
pace,Pace,Pace University
pacific,Pacific,University of the Pacific
pacific-lutheran,Pacific Lutheran,Pacific Lutheran University
pacific-or,Pacific (OR),Pacific University
paine,Paine,Paine College
palm-beach-atl,Palm Beach Atl.,Palm Beach Atlantic University
penn,Penn,University of Pennsylvania
penn-st,Penn State,Penn State University
penn-st-abington,Penn St.-Abington,Penn State Abington
penn-st-altoona,Penn St.-Altoona,Penn State Altoona
penn-st-behrend,Penn St.-Behrend,Penn State Behrend
penn-st-berks,Penn St.-Berks,Penn State Berks College
penn-st-brandywine,Penn St. Brandywine,Pennsylvania State University Brandywine
penn-st-harrisburg,Penn St.-Harrisburg,Penn State Harrisburg
penn-tech,Penn College,Penn College of Technology
pepperdine,Pepperdine,Pepperdine University
pfeiffer,Pfeiffer,Pfeiffer University
philadelphia-u,Jefferson University,Thomas Jefferson University
piedmont,Piedmont,Piedmont College
pine-manor,Pine Manor,Pine Manor College
pitt-bradford,Pitt.-Bradford,"University of Pittsburgh, Bradford"
pitt-greensburg,Pitt.-Greensburg,University of Pittsburgh-Greensburg
pitt-johnstown,Pitt.-Johnstown,University of Pittsburgh-Johnstown
pittsburg-st,Pittsburg State,Pittsburg State University
pittsburgh,Pittsburgh,University of Pittsburgh
plattsburgh-st,Plattsburgh State,Plattsburgh State University
plymouth-st,Plymouth St.,Plymouth State University
point-loma,Point Loma,Point Loma
polytechnic-ny,Polytechnic (NY),Polytechnic Institute of New York University
pomona-pitzer,Pomona-Pitzer,Pomona-Pitzer Colleges
portland,Portland,University of Portland
portland-st,Portland St.,Portland State University
post,Post,Post University
pr-bayamon,P.R.-Bayamon,University of Puerto Rico-Bayamon
pr-cayey,P.R.-Cayey,"University of Puerto Rico, Cayey"
pr-humacao,P.R.-Humacao,"University of Puerto Rico, Humacao"
pr-mayaguez,P.R.-Mayaguez,University of Puerto Rico-Mayaguez Campus
pr-rio-piedras,P.R.-Rio Piedras,University of Puerto Rico-Rio Piedras
prairie-view,Prairie View,Prairie View A&M University
pratt-institute,Pratt Institute,Pratt Institute
presbyterian,Presbyterian,Presbyterian College
presentation,Presentation,Presentation College
princeton,Princeton,Princeton University
principia,Principia,Principia College
providence,Providence,Providence College
puget-sound,Puget Sound,University of Puget Sound
purchase-st,Purchase,Purchase College-SUNY
purdue,Purdue,Purdue University
purdue-northwest,Purdue Northwest,Purdue University Northwest
queens-nc,Queens (NC),Queens University of Charlotte
queens-ny,Queens (NY),Queens College
quincy,Quincy,Quincy University
quinnipiac,Quinnipiac,Quinnipiac University
radford,Radford,Radford University
ramapo,Ramapo,Ramapo College
randolph,Randolph,Randolph College
randolph-macon,Randolph-Macon,Randolph-Macon College
redlands,Redlands,University of Redlands
regis-co,Regis (CO),Regis University
regis-ma,Regis College,Regis College
reneau-university,Reneau University,Reneau University
rensselaer,Rensselaer,Rensselaer Polytechnic Institute
rhode-island,Rhode Island,University of Rhode Island
rhode-island-col,Rhode Island Col.,Rhode Island College
rhodes,Rhodes,Rhodes College
rice,Rice,Rice University
richard-stockton,Stockton,Stockton University
richmond,Richmond,University of Richmond
rider,Rider,Rider University
ripon,Ripon,Ripon College
rivier,Rivier,Rivier University
roanoke,Roanoke,Roanoke College
robert-morris,Robert Morris,Robert Morris University
roberts-wesleyan,Roberts Wesleyan,Roberts Wesleyan University
rochester-inst,Rochester Inst.,Rochester Institute of Technology
rochester-ny,Rochester (NY),University of Rochester
rockford,Rockford,Rockford University
rockhurst,Rockhurst,Rockhurst University
roger-williams,Roger Williams,Roger Williams University
rogers-st,Rogers State,Rogers State University
rollins,Rollins,Rollins College
roosevelt-university,Roosevelt University,Roosevelt University
rose-hulman,Rose-Hulman,Rose-Hulman Institute of Technology
rosemont,Rosemont,Rosemont College
rowan,Rowan,Rowan University
rust,Rust,Rust College
rutgers,Rutgers,Rutgers University
rutgers-camden,Rutgers-Camden,"Rutgers University, Camden"
rutgers-newark,Rutgers-Newark,"Rutgers University, Newark"
sacramento-st,Sacramento St.,Sacramento State University
sacred-heart,Sacred Heart,Sacred Heart University
sage-colleges,Sage Colleges,The Sage Colleges
saginaw-valley,Saginaw Valley,Saginaw Valley State University
saint-johns-mn,St. John's (MN),St. John's University (Minn.)
saint-josephs,Saint Joseph's,Saint Joseph's University
saint-leo,St. Leo,Saint Leo University
saint-louis,St. Louis,Saint Louis University
saint-martins,Saint-Martins,Saint Martin's University
saint-michaels,St. Michael's,Saint Michael's College
saint-rose,Saint Rose,
saint-vincent,St. Vincent,Saint Vincent College
salem,Salem,Salem College
salem-intl,Salem University,Salem University
salem-st,Salem St.,Salem State University
salisbury,Salisbury,Salisbury University
salve-regina,Salve Regina,Salve Regina University
sam-houston-st,Sam Houston St.,Sam Houston State University
samford,Samford,Samford University
san-diego,San Diego,University of San Diego
san-diego-st,San Diego St.,San Diego State University
san-fran-st,San Fran. St.,San Francisco State University
san-francisco,San Francisco,University of San Francisco
san-jose-st,San Jose St.,San Jose State University
santa-clara,Santa Clara,Santa Clara University
sarah-lawrence,Sarah Lawrence,Sarah Lawrence College
savannah-st,Savannah St.,Savannah State University
sc-aiken,South-Carolina-Aiken,University of South Carolina Aiken
scad,SCAD,Savannah College of Art & Design
schreiner,Schreiner,Schreiner University
scranton,Scranton,University of Scranton
seattle,Seattle,Seattle University
seattle-pacific,Seattle Pacific,Seattle Pacific University
seton-hall,Seton Hall,Seton Hall University
seton-hill,Seton Hill,Seton Hill University
sewanee,Sewanee,The University of the South
shaw,Shaw,Shaw University
shenandoah,Shenandoah,Shenandoah University
shepherd,Shepherd,Shepherd University
shippensburg,Shippensburg,Shippensburg University
shorter,Shorter,Shorter University
siena,Siena,Siena College
simmons,Simmons,Simmons College
simon-fraser,Simon Fraser,Simon Fraser University
simpson,Simpson,Simpson College
sioux-falls,Sioux Falls,University of Sioux Falls
siu-edwardsville,SIUE,Southern Illinois Univ.-Edwardsville
skidmore,Skidmore,Skidmore College
slippery-rock,Slippery Rock,Slippery Rock University
smith,Smith,Smith College
smu,SMU,Southern Methodist University
sonoma-st,Sonoma St.,Sonoma State University
south-ala,South Ala.,University of South Alabama
south-carolina,South Carolina,University of South Carolina
south-carolina-st,South Carolina St.,South Carolina State University
south-dakota,South Dakota,University of South Dakota
south-dakota-mines,South Dakota Mines,South Dakota (Mines)
south-dakota-st,South Dakota St.,South Dakota State University
south-fla,South Fla.,University of South Florida
southampton,Southampton,Southampton Campus of LIU
southeast-mo-st,Southeast Mo. St.,Southeast Missouri State University
southeastern-la,Southeastern La.,Southeastern Louisiana University
southeastern-okla,Southeastern Okla.,Southeastern Oklahoma State Univ.
southern-ark,Southern Ark.,Southern Arkansas University
southern-california,Southern California,University of Southern California
southern-conn-st,Southern Conn. St.,Southern Connecticut St. University
southern-ill,Southern Ill.,Southern Illinois University
southern-ind,Southern Ind.,University of Southern Indiana
southern-me,Southern Me.,University of Southern Maine
southern-miss,Southern Miss.,The University of Southern Mississippi
southern-nazarene,Southern Nazarene,Southern Nazarene University
southern-nh,Southern N.H.,Southern New Hampshire University
southern-u,Southern U.,Southern University
southern-utah,Southern Utah,Southern Utah University
southern-va,Southern Virginia,Southern Virginia University
southern-vt,Southern Vt.,Southern Vermont College
southern-wesleyan,Southern Wesleyan,Southern Wesleyan University
southwest-baptist,Southwest Baptist,Southwest Baptist University
southwest-minn-st,Southwest Minn. St.,Southwest Minnesota St. University
southwestern-okla,Southwestern Okla.,Southwestern Oklahoma State Univ.
southwestern-tx,Southwestern (TX),Southwestern University
spalding,Spalding,Spalding University
spelman,Spelman,Spelman College
spring-hill,Spring Hill,Spring Hill College
springfield,Springfield,Springfield College
st-andrews,St. Andrews,St. Andrews Presbyterian College
st-anselm,St. Anselm,Saint Anselm College
st-augustines,St. Augustine's,St. Augustine's University
st-benedict,Saint Benedict,College of Saint Benedict
st-bonaventure,St. Bonaventure,St. Bonaventure University
st-catherine,St. Catherine,St. Catherine University
st-cloud-st,St. Cloud State,St. Cloud State University
st-edwards,St. Edward's,St. Edward's University
st-elizabeth,St. Elizabeth,College of Saint Elizabeth
st-francis-il,St. Francis (IL),University of St. Francis (Ill.)
st-francis-ny,St. Francis Brooklyn,St. Francis College Brooklyn
st-francis-pa,St. Francis (PA),Saint Francis University
st-john-fisher,St. John Fisher,St. John Fisher University
st-johns-ny,St. John's (NY),St. John's University (N.Y.)
st-joseph-ct,St. Joseph (CT),University of Saint Joseph (Conn.)
st-josephs-brkln,St. Joseph's (Brkln),"St. Joseph's University, New York (Brooklyn)"
st-josephs-in,St. Joseph's (IN),Saint Joseph's College (Ind.)
st-josephs-li,St. Joseph's (L.I.),St. Joseph's University (Long Island)
st-josephs-me,St. Joseph's (Me.),Saint Joseph's College (Maine)
st-lawrence,St. Lawrence,St. Lawrence University
st-marys-ca,Saint-Mary's (CA),St. Mary's College (CA)
st-marys-in,Saint-Mary's (IN),Saint Mary's College (IN)
st-marys-md,Saint-Mary's (MD),St. Mary's College (MD)
st-marys-mn,Saint Mary's (Minn.),Saint Mary's University (Minn.)
st-marys-tx,St. Mary's (TX),St. Mary's University (Texas)
st-norbert,St. Norbert,St. Norbert College
st-olaf,St. Olaf,St. Olaf College
st-pauls,St. Paul's,St. Paul's College
st-peters,Saint Peter's,Saint Peter's University
st-scholastica,St. Scholastica,College of St. Scholastica
st-thomas-aquinas,St. Thomas Aquinas,St. Thomas Aquinas College
st-thomas-fl,St. Thomas (FL),St. Thomas University
st-thomas-mn,St. Thomas (MN),University of St. Thomas (Minn.)
st-thomas-tx,St. Thomas Houston,St. Thomas Houston
stanford,Stanford,Stanford University
staten-island,Staten Island,College of Staten Island
stephen-f-austin,Stephen F. Austin,Stephen F. Austin State University
stephens,Stephens,Stephens College
stetson,Stetson,Stetson University
stevens,Stevens,Stevens Institute of Technology
stevenson,Stevenson,Stevenson University
stillman,Stillman,Stillman College
stonehill,Stonehill,Stonehill College
stony-brook,Stony Brook,Stony Brook University
suffolk,Suffolk,Suffolk University
sul-ross-st,Sul Ross St.,Sul Ross State University
suny-brockport,SUNY Brockport,State University of New York Brockport
suny-canton,SUNY Canton,SUNY Canton
suny-cortland,SUNY Cortland,"SUNY, Cortland"
suny-delhi,SUNY Delhi,SUNY Delhi
suny-geneseo,SUNY Geneseo,"SUNY, Geneseo"
suny-maritime,SUNY Maritime,SUNY Maritime College
suny-morrisville,State University of New York at Morrisville,State University of New York at Morrisville
suny-new-paltz,SUNY New Paltz,SUNY New Paltz
suny-potsdam,SUNY Potsdam,"SUNY, Potsdam"
sunyit,SUNY Poly,SUNY Polytechnic Institute
susquehanna,Susquehanna,Susquehanna University
swarthmore,Swarthmore,Swarthmore College
sweet-briar,Sweet Briar,Sweet Briar College
syracuse,Syracuse,Syracuse University
tampa,Tampa,University of Tampa
tarleton-st,Tarleton St.,Tarleton State University
tcnj,TCNJ,The College of New Jersey
tcu,TCU,Texas Christian University
temple,Temple,Temple University
tennessee,Tennessee,University of Tennessee
tennessee-st,Tennessee St.,Tennessee State University
tennessee-tech,Tennessee Tech,Tennessee Technological University
tex-am-intl,Tex. A&M Int'l,Texas A&M International University
tex-am-kingsville,Tex. A&M-Kingsville,Texas A&M-Kingsville
tex-permian-basin,Texas of the Permian Basin,Texas of the Permian Basin
texas,Texas,University of Texas
texas-am,Texas A&M,Texas A&M University
texas-arlington,Texas at Arlington,University of Texas at Arlington
texas-dallas,Texas at Dallas,University of Texas at Dallas
texas-lutheran,Texas Lutheran,Texas Lutheran University
texas-southern,Texas Southern,Texas Southern University
texas-st,Texas St.,Texas State University
texas-tech,Texas Tech,Texas Tech University
texas-tyler,Texas at Tyler,University of Texas at Tyler
texas-wesleyan,Texas Wesleyan,Texas Wesleyan University
texas-womans,Texas Woman's,Texas Woman's University
thiel,Thiel,Thiel College
thomas-me,Thomas (ME),Thomas College
thomas-more,Thomas More,Thomas More University
tiffin,Tiffin,Tiffin University
toledo,Toledo,University of Toledo
towson,Towson,Towson University
transylvania,Transylvania,Transylvania University
trevecca-nazarene,Trevecca Nazarene,Trevecca Nazarene University
trine,Trine,Trine University
trinity-ct,Trinity (CT),Trinity College (CT)
trinity-tx,Trinity (TX),Trinity University (Texas)
trinity-washington,Trinity Washington,Trinity Washington University
troy,Troy,Troy University
truman,Truman,Truman State University
tufts,Tufts,Tufts University
tulane,Tulane,Tulane University
tulsa,Tulsa,The University of Tulsa
tusculum,Tusculum,Tusculum College
tuskegee,Tuskegee,Tuskegee University
u-new-england,New-England,University of New England
uab,UAB,UAB
ualr,Little-Rock,Little Rock
uc-colo-springs,Colo-Springs,Univ. of Colorado-Colorado Springs
uc-davis,UC Davis,UC Davis
uc-irvine,UC Irvine,UC Irvine
uc-riverside,UC Riverside,UC Riverside
uc-san-diego,UC San Diego,UC San Diego
uc-santa-barbara,UC Santa Barbara,UC Santa Barbara
uc-santa-cruz,UC Santa Cruz,UC Santa Cruz
ucf,UCF,University of Central Florida
ucla,UCLA,UCLA
uconn,Connecticut,University of Connecticut
umass-boston,Mass.-Boston,UMass Boston
umass-dartmouth,Mass.-Dartmouth,UMass Dartmouth
umass-lowell,Mass.-Lowell,UMass Lowell
umbc,Maryland-Baltimore-County,UMBC
umkc,Kansas City,University of Missouri-Kansas City
unc-asheville,UNC Asheville,UNC Asheville
unc-greensboro,UNC Greensboro,UNC Greensboro
unc-pembroke,UNC Pembroke,UNC Pembroke
unc-wilmington,UNCW,UNC Wilmington
uni,Northern Iowa,University of Northern Iowa
union-ny,Union (NY),Union College (N.Y.)
union-tn,Union (Tenn.),Union University (Tenn.)
unlv,UNLV,UNLV
upper-iowa,Upper Iowa,Upper Iowa University
urbana,Urbana University,Urbana University
ursinus,Ursinus,Ursinus College
ursuline,Ursuline,Ursuline College
usc-beaufort,USC Beaufort,University of South Carolina Beaufort
usc-upstate,South-Carolina-Upstate,University of South Carolina Upstate
ut-martin,Tenn-Martin,University of Tennessee at Martin
utah,Utah,University of Utah
utah-st,Utah St.,Utah State University
utah-tech,Utah Tech,Utah Tech University
utah-valley,Utah Valley,Utah Valley University
utep,Texas at El Paso,University of Texas at El Paso
utica,Utica,Utica College
utrgv,Texas Rio Grande Valley,University of Texas Rio Grande Valley
utsa,Texas at San Antonio,University of Texas at San Antonio
uva-wise,Virginia-Wise,Virginia's College at Wise
va-wesleyan,Virg-Wesleyan,Virginia Wesleyan College
valdosta-st,Valdosta St.,Valdosta State University
valley-forge-chrst,Valley Forge,University of Valley Forge
valparaiso,Valparaiso,Valparaiso University
vanderbilt,Vanderbilt,Vanderbilt University
vassar,Vassar,Vassar College
vcu,VCU,Virginia Commonwealth University
vermont,Vermont,University of Vermont
villanova,Villanova,Villanova University
virginia,Virginia,University of Virginia
virginia-st,Virginia St.,Virginia State University
virginia-tech,Virginia Tech,Virginia Tech
virginia-union,Virginia Union,Virginia Union University
vmi,VMI,Virginia Military Institute
wabash,Wabash,Wabash College
wagner,Wagner,Wagner College
wake-forest,Wake Forest,Wake Forest University
walsh,Walsh,Walsh University
warren-wilson-college,Warren Wilson College,Warren Wilson College
wartburg,Wartburg,Wartburg College
wash-jeff,Wash. & Jeff.,Washington and Jefferson College
wash-lee,Wash. & Lee,Washington and Lee University
washburn,Washburn,Washburn University of Topeka
washington,Washington,University of Washington
washington-adventist,Washington Adventist,Washington Adventist University
washington-col,Washington Col.,Washington College
washington-st,Washington St.,Washington State University
washington-st-louis,Washington-St. Louis,Washington University (Missouri)
wayne-st-mi,Wayne St. (MI),Wayne State University
wayne-st-ne,Wayne St. (NE),Wayne State College
waynesburg,Waynesburg,Waynesburg University
weber-st,Weber St.,Weber State University
webster,Webster,Webster University
wellesley,Wellesley,Wellesley College
wells,Wells,Wells College
wentworth,Wentworth Inst.,Wentworth Institute of Technology
wesley,Wesley,Wesley College
wesleyan-ct,Wesleyan (CT),Wesleyan University
wesleyan-ga,Wesleyan (GA),Wesleyan College
west-ala,West Ala.,University of West Alabama
west-chester,West Chester,West Chester Univ. of Pennsylvania
west-florida,West Fla.,University of West Florida
west-ga,West Ga.,University of West Georgia
west-liberty,West Liberty,West Liberty University
west-tex-am,West Tex. A&M,West Texas A&M University
west-va-tech,West Va. Tech,West Virginia Univ. Inst. of Tech.
west-va-wesleyan,West Va. Wesleyan,West Virginia Wesleyan College
west-virginia,West Virginia,West Virginia University
west-virginia-st,West Virginia St.,West Virginia State University
western-caro,Western Caro.,Western Carolina University
western-conn-st,Western Conn. St.,Western Connecticut State University
western-ill,Western Ill.,Western Illinois University
western-ky,Western Ky.,Western Kentucky University
western-mich,Western Mich.,Western Michigan University
western-new-eng,Western New Eng.,Western New England University
western-nm,Western N.M.,Western New Mexico University
western-ore,Western Ore.,Western Oregon University
western-st,Western Colo.,Western Colorado University
western-wash,Western Wash.,Western Washington University
westfield-st,Westfield St.,Westfield State University
westminster-mo,Westminster (MO),Westminster College (Mo.)
westminster-pa,Westminster (PA),Westminster College (Pa.)
westminster-ut,Westminster (UT),Westminster University
westmont-college,Westmont College,Westmont College
wheaton-il,Wheaton (IL),Wheaton College (Ill.)
wheaton-ma,Wheaton (MA),Wheaton College (Mass.)
wheeling-jesuit,Wheeling Jesuit,Wheeling Jesuit University
wheelock,Wheelock,Wheelock College
whitman,Whitman,Whitman College
whittier,Whittier,Whittier College
whitworth,Whitworth,Whitworth University
wichita-st,Wichita St.,Wichita State University
widener,Widener,Widener University
wilkes,Wilkes,Wilkes University
willamette,Willamette,Willamette University
william-jewell,William Jewell,William Jewell College
william-mary,William & Mary,College of William and Mary
william-peace,William Peace,William Peace University
william-penn,William Penn,William Penn College
william-smith,William Smith,William Smith College
williams,Williams,Williams College
wilmington-de,Wilmington (DE),Wilmington University
wilmington-oh,Wilmington (OH),Wilmington College
wilson,Wilson,Wilson College
wingate,Wingate,Wingate University
winona-st,Winona St.,Winona State University
winston-salem,Winston-Salem,Winston-Salem State University
winthrop,Winthrop,Winthrop University
wis-eau-claire,Wis.-Eau Claire,University of Wisconsin-Eau Claire
wis-la-crosse,Wis.-La Crosse,University of Wisconsin-La Crosse
wis-lutheran,Wis. Lutheran,Wisconsin Lutheran College
wis-oshkosh,Wis.-Oshkosh,University of Wisconsin-Oshkosh
wis-parkside,Wis.-Parkside,"University of Wisconsin, Parkside"
wis-platteville,Wis.-Platteville,University of Wisconsin-Platteville
wis-river-falls,Wis.-River Falls,University of Wisconsin-River Falls
wis-stevens-point,Wis.-Stevens Point,Univ. of Wisconsin-Stevens Point
wis-stout,Wis.-Stout,University of Wisconsin-Stout
wis-superior,Wis.-Superior,University of Wisconsin-Superior
wis-whitewater,Wis.-Whitewater,University of Wisconsin-Whitewater
wisconsin,Wisconsin,"University of Wisconsin, Madison"
Wisconsin-Eau Claire,,
Wisconsin-La Crosse,,
wittenberg,Wittenberg,Wittenberg University
wm-paterson,William Paterson,William Paterson University
wofford,Wofford,Wofford College
wooster,Wooster,College of Wooster
worcester-st,Worcester St.,Worcester State University
wpi,WPI,Worcester Polytechnic Institute
wright-st,Wright St.,Wright State University
WVU,,
wyoming,Wyoming,University of Wyoming
xavier,Xavier,Xavier University
yale,Yale,Yale University
yeshiva,Yeshiva,Yeshiva University
york-ny,York (NY),York College (N.Y.)
york-pa,York (PA),York College (Pa.)
young-harris,Young Harris,Young Harris College
youngstown-st,Youngstown St.,Youngstown State University
